adm_village_id,both,year,newpoint_x,newpoint_y
267647,1019,1935,26.797266,41.414007
267544,293,1935,26.73253,40.786796
267517,132,1935,26.489186,40.85033
276426,2304,1935,27.10493,41.349022
267676,149,1935,26.61642,41.2478
267468,427,1935,26.39623,41.19246
276445,2689,1935,27.765839,41.825591
267704,394,1935,26.886503,41.250321
276427,564,1935,27.012764,41.436442
276402,255,1935,27.026698,41.553477
276521,400,1935,27.205067,41.965588
276523,228,1935,27.022981,42.039649
276570,297,1935,27.713509,41.580042
276594,1305,1935,27.6375,41.736787
276592,99,1935,27.7177,41.642798
276590,1362,1935,27.712507,41.652301
276412,383,1935,27.123783,41.52292
276410,166,1935,27.163256,41.559935
276409,246,1935,27.075615,41.541869
276408,419,1935,27.00231,41.506818
276429,892,1935,27.076155,41.390744
276430,369,1935,27.140796,41.456662
276469,453,1935,27.547789,41.444539
276468,1804,1935,27.492195,41.376024
276481,974,1935,27.50722,41.536654
276520,233,1935,27.048207,41.944886
267446,317,1935,26.495728,40.898751
276525,352,1935,27.10352,42.05585
276569,1382,1935,27.873074,41.513647
276571,461,1935,27.693794,41.489119
276593,1019,1935,27.655755,41.64341
276542,219,1935,27.467045,41.725841
276564,3147,1935,27.401158,41.737761
276544,554,1935,27.390215,41.670758
276537,425,1935,27.560447,41.703469
276538,400,1935,27.512278,41.702229
276540,555,1935,27.311191,41.582094
276539,823,1935,27.594048,41.547355
267452,313,1935,26.430903,40.887943
267505,82,1935,26.417582,40.617076
267433,870,1935,26.545997,40.980219
267436,263,1935,26.529688,41.062985
267449,339,1935,26.369311,40.862682
267450,528,1935,26.317402,40.849654
267453,753,1935,26.439358,40.9424
267457,620,1935,26.35733,41.08157
267458,416,1935,26.35547,41.2452
267459,613,1935,26.40764,41.11171
267464,248,1935,26.5381,41.26884
267467,236,1935,26.42578,41.12208
267469,209,1935,26.46519,41.22331
267479,579,1935,26.3583,41.19938
267481,305,1935,26.46797,41.13122
267503,253,1935,26.51121,40.66759
267504,493,1935,26.554922,40.684617
267506,173,1935,26.574735,40.716515
267508,294,1935,26.49961,40.765588
267507,225,1935,26.452638,40.638108
267546,126,1935,26.67369,40.764002
267545,307,1935,26.715582,40.785438
267516,284,1935,26.387008,40.630502
267645,592,1935,26.830046,41.784208
267550,324,1935,26.82889,41.45845
267552,408,1935,26.81782,41.46832
267553,439,1935,26.79566,41.6697
267562,675,1935,26.9,41.5
267568,129,1935,26.7251,41.94114
267569,220,1935,26.63883,41.88362
267579,115,1935,26.59508,41.89943
267585,686,1935,26.73667,41.78528
267589,555,1935,26.394302,41.73751
267592,409,1935,26.77049,41.8235
267598,1292,1935,26.563805,41.626435
267603,477,1935,26.738045,41.698095
267604,666,1935,26.61962,41.45195
267605,434,1935,26.65995,41.73686
267612,185,1935,26.688345,41.775147
267613,225,1935,26.655302,41.79164
267625,178,1935,26.341779,41.76301
267634,257,1935,26.99221,41.87142
267642,865,1935,26.911837,41.76684
267644,2226,1935,26.887175,41.835729
267664,337,1935,26.665423,41.153297
267686,373,1935,26.572532,41.306156
267687,701,1935,26.741439,41.273702
267703,418,1935,26.888678,41.228796
267648,675,1935,26.664983,41.37589
267649,2250,1935,26.79991,41.389743
267653,566,1935,26.879743,41.357858
267668,382,1935,26.632085,41.116646
267669,219,1935,26.5298,41.1352
267678,573,1935,26.64438394,41.32814096
276423,824,1935,27.053149,41.354395
276422,549,1935,27.108466,41.489187
276414,801,1935,27.163565,41.539617
276433,553,1935,27.165417,41.443982
276453,263,1935,27.645938,41.915136
276459,231,1935,27.674708,41.837692
276463,1143,1935,27.543943,41.300987
276462,374,1935,27.565057,41.367681
276485,1043,1935,27.478768,41.513898
276486,1018,1935,27.24958,41.466961
276473,275,1935,27.43575,41.252687
276472,309,1935,27.537518,41.336078
276471,593,1935,27.429858,41.301584
276499,202,1935,27.368049,41.850291
276529,202,1935,27.236504,41.791149
276533,1031,1935,27.18699,41.7224
276534,392,1935,27.226693,41.77426
276561,354,1935,27.50661,41.801638
276551,838,1935,27.44188,41.58753
276550,735,1935,27.56987,41.584945
276549,5904,1935,27.52,41.62417
276547,858,1935,27.377636,41.572554
276546,615,1935,27.547836,41.754423
276576,1320,1935,27.73905,41.519381
276577,307,1935,27.883942,41.700003
276578,817,1935,27.880955,41.633407
276584,820,1935,27.687595,41.514326
276586,326,1935,28.04932,41.548211
276588,143,1935,27.978122,41.665035
267435,1389,1935,26.5048,41.010559
267696,517,1935,26.892123,41.179776
267682,160,1935,26.580864,41.250987
267627,426,1935,26.45794,41.70711
267684,631,1935,26.612869,41.312421
267525,205,1935,26.69336,40.965662
276591,1303,1935,27.705756,41.706278
267432,237,1935,26.40375,41.035047
267439,855,1935,26.45097,41.028291
267441,55,1935,26.369885,40.894991
267442,650,1935,26.442036,40.869491
267445,595,1935,26.40513,40.809087
267448,723,1935,26.439146,40.840442
267451,895,1935,26.381203,40.983718
267471,623,1935,26.53073,41.30488
267476,313,1935,26.50909,41.16477
267498,284,1935,26.25716,40.61537
267499,215,1935,26.23398,40.69631
267495,229,1935,26.18132,40.64864
267494,372,1935,26.34589,40.6663
267519,1057,1935,26.57533,40.92874
267512,876,1935,26.538911,40.639268
267510,285,1935,26.485855,40.73861
267483,249,1935,26.25694,40.64194
267490,127,1935,26.32008,40.71138
267548,962,1935,26.74219,41.54642
267549,382,1935,26.88206586,41.69133546
267559,348,1935,26.81281,41.5054
267571,793,1935,26.64515,41.83745
267576,94,1935,26.78253,41.94258
267591,259,1935,26.88866,41.89634
267594,176,1935,26.592464,41.927435
267595,604,1935,26.86908,41.94057
267636,676,1935,26.811259,41.724894
267611,194,1935,26.69536,41.732353
267614,224,1935,26.667365,41.756147
267615,225,1935,26.640277,41.7632
267624,311,1935,26.543699,41.748065
267630,1063,1935,26.47964574,41.77895617
267632,215,1935,26.43739,41.69876
267633,507,1935,26.930723,41.680499
267638,620,1935,26.787573,41.719484
267688,687,1935,26.62882,41.2263
267693,110,1935,26.94236,41.28184
267651,213,1935,26.728143,41.390298
267655,434,1935,26.85723,41.42794
267659,498,1935,26.511213,41.11189
267673,701,1935,26.80443,41.12131
267677,562,1935,26.699564,41.312511
267679,360,1935,26.557873,41.315921
276437,369,1935,26.971635,41.429294
276440,310,1935,26.93442,41.40982
276444,333,1935,27.0052,41.36985
276424,867,1935,26.943835,41.494148
276421,326,1935,27.060719,41.487404
276416,2970,1935,27.144204,41.370354
276415,529,1935,27.106465,41.583564
276454,126,1935,27.698215,41.905591
276458,367,1935,27.941705,41.69734
276449,227,1935,28.049135,41.887998
276451,161,1935,27.580376,41.90535
276487,724,1935,27.399331,41.32318
276490,1452,1935,27.474826,41.441796
276492,694,1935,27.349942,41.488925
276475,153,1935,27.394017,41.352156
276483,1325,1935,27.284004,41.507051
276522,163,1935,27.29482,42.00453
276497,177,1935,27.34615,42.03304
276500,661,1935,27.427125,41.866417
276516,271,1935,27.012852,41.98055
276517,588,1935,27.17767,41.896944
276535,437,1935,27.269373,41.603435
276536,96,1935,27.339512,41.828534
276560,522,1935,27.346391,41.644061
276559,1087,1935,27.067036,41.829549
276543,926,1935,27.620645,41.703427
276580,806,1935,27.752035,41.489079
276581,435,1935,27.700665,41.601588
276567,6303,1935,27.764481,41.574441
267626,272,1935,26.46906,41.81378
267665,732,1935,26.748394,41.101118
276441,209,1935,26.92371,41.40476
276470,587,1935,27.448241,41.305271
267663,207,1935,26.68459,41.05735
267705,654,1935,26.923961,41.252499
267554,821,1935,26.85746,41.63822
267444,698,1935,26.294398,40.832916
267437,474,1935,26.61019,41.02057
267438,294,1935,26.580128,40.978505
267447,227,1935,26.343685,40.765894
267454,247,1935,26.441444,40.790678
267461,779,1935,26.31416019,41.17487726
267463,181,1935,26.35499,41.17361
267472,583,1935,26.3461,41.21472
267474,164,1935,26.55422685,41.19900409
267475,419,1935,26.48779,41.28255
267480,519,1935,26.5535,41.23978
267501,169,1935,26.402996,40.719387
267524,358,1935,26.66233,40.998564
267522,97,1935,26.61891524,40.87879921
267518,795,1935,26.701684,41.009927
267515,420,1935,26.472924,40.678583
267509,197,1935,26.51846,40.70869
267484,142,1935,26.30992,40.71667
267487,477,1935,26.17071,40.68796
267492,444,1935,26.31146,40.66829
